Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,Cpu_speed,Cpu_mark,Memory_GB,Memory_kind,Price
Dell,2 in 1 Convertible,13.3,1920x1080,16,Intel UHD Graphics 620,Windows 10,1.62,1.8,Intel,512.0,SSD,68145.12
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 520,Linux,2.2,1.6,Intel,256.0,SSD,36089.208
Lenovo,2 in 1 Convertible,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.74,1.6,Intel,256.0,SSD,47898.72
Toshiba,Ultrabook,13.3,1920x1080,8,Intel HD Graphics 520,Windows 10,1.2,2.5,Intel,256.0,SSD,72620.64
HP,Notebook,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.1,1.6,Intel,1024.0,HDD,42304.32
Dell,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,4.42,2.8,Intel,256.0,SSD,130873.7952
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.2,2.7,Intel,256.0,SSD,44328.96
Dell,Notebook,15.6,1920x1080,16,AMD Radeon R7 M445,Windows 10,2.3,2.7,Intel,1024.0,HDD,45768.0528
Asus,Notebook,15.6,1920x1080,8,Nvidia GeForce 920MX ,Windows 10,2.0,2.5,Intel,256.0,SSD,40972.32
Asus,Notebook,17.3,1920x1080,8,Nvidia GeForce GTX 950M,Windows 10,2.69,2.5,Intel,256.0,SSD,47472.48
HP,Notebook,15.6,1920x1080,8,AMD FirePro W4190M ,Windows 10,1.9,2.7,Intel,1024.0,HDD,67612.32
Asus,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,2.37,2.4,Intel,1024.0,HDD,21258.1872
HP,Notebook,15.6,1366x768,4,AMD Radeon R2,Windows 10,2.1,1.5,AMD,500.0,HDD,17582.4
Lenovo,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,3.2,2.8,Intel,256.0,SSD,79866.72
Dell,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.6,2.5,Intel,256.0,SSD,45767.52
Acer,2 in 1 Convertible,13.3,1920x1080,8,Intel HD Graphics 520,Windows 10,1.6,2.3,Intel,256.0,SSD,36709.92
Dell,Notebook,15.6,1920x1080,16,AMD Radeon R7 M445,Linux,2.36,2.7,Intel,256.0,SSD,47898.72
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Linux,2.1,2.0,Intel,1024.0,HDD,20779.2
Asus,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Windows 10,2.2,2.5,AMD,128.0,SSD,30636.0
Asus,Gaming,17.3,1920x1080,32,Nvidia GeForce GTX 1080,Windows 10,4.7,2.9,Intel,512.0,SSD,207259.2
Acer,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.5,2.5,Intel,256.0,SSD,45074.88
Lenovo,Notebook,15.6,1366x768,8,Intel HD Graphics 520,Windows 10,7.2,2.0,Intel,128.0,SSD,31381.92
Asus,Notebook,17.3,1920x1080,8,Nvidia GeForce 150MX,Windows 10,2.1,1.8,Intel,128.0,SSD,61005.6
Asus,Notebook,17.3,1920x1080,8,Nvidia GeForce GTX 950M,No OS,2.69,2.7,Intel,128.0,SSD,47365.92
Dell,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.56,2.5,Intel,256.0,SSD,46833.12
Lenovo,2 in 1 Convertible,13.9,1920x1080,8,Intel HD Graphics 620,Windows 10,1.38,2.7,Intel,256.0,SSD,57489.12
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,2.2,1.8,Intel,128.0,SSD,52480.8
HP,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.04,2.5,Intel,1024.0,HDD,29783.52
Asus,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1080,Windows 10,3.6,2.9,Intel,256.0,SSD,159786.72
HP,Notebook,13.3,1920x1080,4,Intel UHD Graphics 620,Windows 10,1.49,1.6,Intel,500.0,HDD,35964.0
Apple,Ultrabook,13.3,2560x1600,8,Intel Iris Plus Graphics 650,macOS,1.37,3.1,Intel,512.0,SSD,108691.2
Dell,2 in 1 Convertible,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.08,1.8,Intel,1024.0,HDD,43636.32
Asus,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 980M,Windows 10,4.3,2.8,Intel,256.0,SSD,95850.72
Asus,Notebook,15.6,1366x768,4,AMD Radeon R5 M420,Windows 10,1.68,3.0,AMD,1024.0,HDD,24988.32
Lenovo,2 in 1 Convertible,13.9,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.37,1.8,Intel,512.0,SSD,98514.72
Acer,Notebook,17.3,1920x1080,4,Nvidia GeForce MX130,Windows 10,3.0,2.7,Intel,256.0,SSD,37402.56
Dell,Ultrabook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.41,1.6,Intel,256.0,SSD,50562.72
HP,Notebook,15.6,1366x768,8,AMD Radeon R4 Graphics,Windows 10,1.91,2.5,AMD,128.0,SSD,23757.552
HP,Notebook,17.3,1920x1080,16,Nvidia GeForce MX150,Windows 10,2.9,1.8,Intel,1024.0,HDD,56423.52
MSI,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,4.14,2.8,Intel,512.0,SSD,133146.72
Lenovo,2 in 1 Convertible,15.6,1920x1080,8,Nvidia GeForce GTX 1050M,Windows 10,2.0,2.8,Intel,512.0,SSD,90522.72
Dell,Notebook,17.3,1920x1080,8,AMD Radeon 530,Windows 10,2.8,1.8,Intel,128.0,SSD,60845.76
Lenovo,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,No OS,2.2,2.0,Intel,256.0,SSD,23656.32
HP,Notebook,15.6,1920x1080,4,Intel HD Graphics 620,Windows 10,2.1,1.6,Intel,500.0,HDD,38468.16
Dell,Notebook,15.6,1920x1080,4,Intel HD Graphics 620,Windows 10,2.18,2.5,Intel,1024.0,HDD,35004.96
Dell,Notebook,15.6,1920x1080,8,AMD Radeon R5 M430,Windows 10,2.24,2.5,Intel,1024.0,HDD,30103.2
Dell,2 in 1 Convertible,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.67,1.6,Intel,256.0,SSD,42570.72
Asus,2 in 1 Convertible,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,4.1,1.8,Intel,512.0,SSD,79866.72
HP,Notebook,17.3,1920x1080,8,Nvidia GeForce 930MX ,Windows 10,2.5,1.8,Intel,1024.0,HDD,54239.04
Lenovo,Notebook,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.05,1.8,Intel,256.0,SSD,46886.4
Apple,Ultrabook,13.3,2560x1600,8,Intel Iris Graphics 550,macOS,1.37,2.9,Intel,512.0,SSD,104370.192
Asus,Gaming,17.3,1920x1080,16,AMD Radeon RX 580,Windows 10,3.2,3.0,AMD,256.0,SSD,82530.72
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 520,Linux,2.14,1.8,Intel,256.0,SSD,39164.5296
Lenovo,2 in 1 Convertible,14.0,2560x1440,16,Intel HD Graphics 520,Windows 10,1.36,2.6,Intel,512.0,SSD,133146.72
Toshiba,Notebook,15.6,1366x768,8,Nvidia GeForce 930M,Windows 10,2.2,2.5,Intel,500.0,HDD,43263.36
Dell,Notebook,15.6,1366x768,12,Intel HD Graphics 620,Windows 10,2.3,2.7,Intel,1024.0,HDD,37992.3696
Dell,Notebook,17.3,1920x1080,8,AMD Radeon 530,Linux,2.8,1.8,Intel,128.0,SSD,58554.72
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce MX130,Windows 10,2.2,1.8,Intel,1024.0,HDD,39693.6
Lenovo,Notebook,17.3,1600x900,4,Intel HD Graphics 520,Windows 10,2.8,2.0,Intel,1024.0,HDD,26053.92
Lenovo,Notebook,17.3,1920x1080,8,Nvidia GeForce MX150,No OS,2.8,1.8,Intel,2048.0,HDD,45234.72
Lenovo,Notebook,17.3,1600x900,6,Nvidia GeForce 940MX,Windows 10,2.8,2.7,Intel,128.0,SSD,45767.52
Dell,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Linux,2.25,2.0,Intel,1024.0,HDD,22803.84
Lenovo,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.5,2.5,Intel,256.0,SSD,44169.12
Lenovo,Notebook,15.6,1920x1080,6,Intel HD Graphics 620,Windows 10,2.2,2.5,Intel,256.0,SSD,30849.12
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce MX150,Windows 10,3.0,1.8,Intel,256.0,SSD,50669.28
Acer,Notebook,15.6,1920x1080,12,Intel HD Graphics 620,Windows 10,2.15,2.7,Intel,1024.0,HDD,35111.52
Lenovo,Notebook,15.6,1920x1080,8,Intel HD Graphics 630,Windows 10,1.95,2.7,Intel,256.0,SSD,58448.16
Asus,Ultrabook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.7,2.5,Intel,256.0,SSD,52054.56
Lenovo,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,2.8,Intel,256.0,SSD,62817.12
Lenovo,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,No OS,2.2,2.7,Intel,1024.0,HDD,35112.0528
Acer,Notebook,15.6,1366x768,2,Intel HD Graphics,Chrome OS,2.19,1.5,Intel,16.0,SSD,10602.72
Asus,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.0,2.8,Intel,1024.0,HDD,63243.36
HP,Notebook,17.3,1600x900,8,Intel HD Graphics 520,Windows 10,2.54,2.0,Intel,1024.0,HDD,26053.92
Dell,Notebook,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.0,2.8,Intel,256.0,SSD,97449.12
Lenovo,Notebook,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.05,1.6,Intel,256.0,SSD,39373.92
Lenovo,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,3.2,2.8,Intel,1024.0,HDD,69210.72
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce GTX 1050 Ti,Linux,2.5,2.8,Intel,256.0,SSD,52161.12
Dell,Workstation,17.3,1920x1080,16,Nvidia Quadro M1200,Windows 10,3.42,2.9,Intel,256.0,SSD,153705.3408
Lenovo,Notebook,15.6,1920x1080,6,AMD Radeon R5 430,Windows 10,2.4,2.4,AMD,1024.0,HDD,26586.72
Asus,Ultrabook,15.6,1920x1080,16,Nvidia GeForce 940MX,Windows 10,1.63,2.7,Intel,512.0,SSD,78215.04
Asus,Notebook,14.0,1366x768,4,Intel HD Graphics 620,Windows 10,1.3,2.4,Intel,128.0,SSD,27119.52
Asus,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.9,2.8,Intel,256.0,SSD,113060.16
Lenovo,Notebook,17.3,1600x900,6,Nvidia GeForce GTX 940M,Windows 10,5.8,2.5,Intel,1024.0,HDD,34578.72
Lenovo,Notebook,15.6,1366x768,8,Nvidia GeForce 940MX,No OS,2.2,2.5,Intel,2048.0,HDD,29250.72
Asus,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,2.8,Intel,128.0,SSD,67399.2
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 505,No OS,2.2,1.1,Intel,1024.0,HDD,19180.2672
HP,2 in 1 Convertible,13.3,1920x1080,16,Intel HD Graphics 620,Windows 10,1.28,2.8,Intel,256.0,SSD,105228.0
Toshiba,Notebook,15.6,1920x1080,8,Nvidia GeForce 930M,Windows 10,2.2,2.5,Intel,256.0,SSD,55571.04
Lenovo,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.3,2.5,Intel,128.0,SSD,43636.32
HP,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,Windows 10,1.86,2.0,Intel,1024.0,HDD,24988.32
Lenovo,Notebook,13.3,1920x1080,8,Intel HD Graphics 620,Windows 10,1.1,2.5,Intel,256.0,SSD,53226.72
Dell,Ultrabook,13.3,3840x2160,16,Intel UHD Graphics 620,Windows 10,1.21,1.8,Intel,1024.0,SSD,133146.72
MSI,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.8,2.8,Intel,256.0,SSD,111834.72
Acer,Notebook,15.6,1920x1080,8,AMD Radeon R5,Windows 10,2.23,2.2,AMD,256.0,SSD,24988.32
Asus,2 in 1 Convertible,11.6,1366x768,2,Intel HD Graphics 500,Windows 10,1.1,1.1,Intel,32.0,Flash,14652.0
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,2.33,1.6,Intel,128.0,SSD,44968.32
HP,2 in 1 Convertible,13.3,3840x2160,16,Intel UHD Graphics 620,Windows 10,1.29,1.8,Intel,1024.0,SSD,130482.72
Lenovo,Notebook,13.3,1366x768,4,Intel HD Graphics 510,Chrome OS,1.45,1.6,Intel,16.0,Flash,24503.472
HP,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.95,2.5,Intel,256.0,SSD,52214.4
Acer,Notebook,11.6,1366x768,4,Intel HD Graphics 405,Windows 10,1.4,1.6,Intel,128.0,Flash,25840.8
HP,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.48,2.7,Intel,256.0,SSD,68837.76
Lenovo,Notebook,17.3,1600x900,4,Nvidia GeForce 920MX,Windows 10,2.79,2.5,Intel,1024.0,HDD,31381.92
Asus,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,2.7,Intel,256.0,SSD,58288.32
HP,Notebook,15.6,1366x768,8,Intel UHD Graphics 620,Windows 10,2.1,1.8,Intel,1024.0,HDD,48058.56
Acer,Notebook,15.6,1366x768,8,AMD Radeon RX 540,Windows 10,2.2,2.7,AMD,256.0,SSD,35111.52
Lenovo,Notebook,14.0,1366x768,4,Intel HD Graphics 500,Windows 10,1.44,1.1,Intel,32.0,Flash,15557.76
Acer,Notebook,15.6,1366x768,6,Intel HD Graphics 620,Windows 10,8.23,2.5,Intel,1024.0,HDD,29250.72
Asus,Ultrabook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.7,2.7,Intel,256.0,SSD,55938.672
HP,Ultrabook,12.5,1920x1080,8,Intel HD Graphics 620,Windows 10,1.26,2.7,Intel,256.0,SSD,71128.8
Dell,Notebook,15.6,3840x2160,32,Nvidia GeForce GTX 1050,Windows 10,2.06,2.8,Intel,1024.0,SSD,140605.92
MSI,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,2.8,Intel,256.0,SSD,63882.72
Toshiba,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,2.5,Intel,256.0,SSD,50243.04
Asus,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,2.7,Intel,256.0,SSD,71075.52
Lenovo,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,Windows 10,1.85,2.0,Intel,1024.0,HDD,23922.72
Asus,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.5,2.8,Intel,256.0,SSD,53226.72
HP,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.48,2.6,Intel,256.0,SSD,67559.04
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,1.84,2.5,Intel,256.0,SSD,60952.32
Asus,Notebook,15.6,1366x768,4,Intel HD Graphics 500,Linux,2.0,1.1,Intel,1024.0,HDD,14651.4672
Dell,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.0,1.6,Intel,256.0,SSD,60885.72
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics,Linux,2.2,1.6,Intel,500.0,HDD,14646.672
Lenovo,Notebook,15.6,1920x1080,12,AMD Radeon 530,Windows 10,2.2,3.6,AMD,2048.0,HDD,47898.72
HP,Notebook,15.6,1920x1080,8,Nvidia GeForce 930MX ,Windows 10,2.1,2.4,Intel,1024.0,HDD,38148.48
Lenovo,2 in 1 Convertible,13.9,3840x2160,16,Intel UHD Graphics 620,Windows 10,1.4,1.8,Intel,512.0,SSD,111834.72
Dell,Ultrabook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.2,1.8,Intel,256.0,SSD,84129.12
Lenovo,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,2.8,Intel,256.0,SSD,60153.12
HP,Notebook,14.0,1366x768,2,Intel HD Graphics 400,Windows 10,1.44,1.6,Intel,32.0,Flash,14865.12
Dell,Ultrabook,15.6,1920x1080,16,Intel UHD Graphics 620,Windows 10,1.88,1.9,Intel,512.0,SSD,85672.1088
Asus,2 in 1 Convertible,11.6,1366x768,4,Intel HD Graphics 500,Windows 10,1.5,1.1,Intel,32.0,Flash,19980.0
Dell,Ultrabook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,0.0002,1.6,Intel,1024.0,HDD,35324.64
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,1.84,2.7,Intel,256.0,SSD,69477.12
MSI,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,2.7,2.8,Intel,128.0,SSD,75071.52
HP,Workstation,15.6,1920x1080,8,Nvidia Quadro M1200,Windows 10,2.6,2.8,Intel,256.0,SSD,92615.0256
Toshiba,Notebook,15.6,1920x1080,16,Nvidia GeForce 930M,Windows 10,2.4,2.5,Intel,512.0,SSD,74751.84
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,2.02,1.8,Intel,128.0,SSD,51729.552
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 500,No OS,2.2,1.1,Intel,1024.0,HDD,17155.6272
Dell,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.65,2.5,Intel,1024.0,HDD,53226.72
Dell,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.36,2.5,Intel,2048.0,HDD,29696.6736
Dell,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.36,2.6,Intel,256.0,SSD,76030.56
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,1.86,2.0,Intel,500.0,HDD,23389.92
Asus,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,2.0,2.5,Intel,256.0,SSD,50349.6
Lenovo,Notebook,17.3,1600x900,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,2.5,Intel,128.0,SSD,38308.32
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,1.86,2.5,Intel,1024.0,HDD,34045.92
Lenovo,Notebook,15.6,1366x768,8,Nvidia GeForce 920MX ,No OS,2.2,2.0,Intel,256.0,SSD,26586.72
HP,Notebook,15.6,1366x768,8,Intel HD Graphics 405,Windows 10,2.04,1.6,Intel,2048.0,HDD,20725.92
Dell,Notebook,17.3,1920x1080,8,AMD Radeon 530,Windows 10,2.8,1.6,Intel,128.0,SSD,57808.8
Lenovo,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,No OS,2.4,2.5,Intel,128.0,SSD,43103.52
Dell,Notebook,15.6,1920x1080,8,AMD Radeon R7 M445,Windows 10,2.33,2.7,Intel,256.0,SSD,47898.72
HP,Ultrabook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.36,2.7,Intel,256.0,SSD,93240.0
Asus,2 in 1 Convertible,15.6,1920x1080,12,Nvidia GeForce GT 940MX,Windows 10,2.26,2.7,Intel,512.0,SSD,58554.72
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,3.0,AMD,128.0,SSD,22697.28
Asus,Gaming,17.3,1920x1080,16,AMD Radeon RX 580,Windows 10,3.25,3.0,AMD,256.0,SSD,117162.72
Lenovo,Notebook,17.3,1600x900,4,AMD Radeon R5,Windows 10,2.6,2.2,AMD,128.0,SSD,26053.92
Dell,2 in 1 Convertible,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.62,1.8,Intel,256.0,SSD,46300.8528
HP,Notebook,15.6,1920x1080,4,AMD Radeon R5,Windows 10,1.91,3.0,AMD,256.0,SSD,26053.3872
Lenovo,Netbook,11.6,1366x768,4,Intel HD Graphics 500,Windows 10,1.59,1.1,Intel,128.0,SSD,29463.84
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics 400,Windows 10,1.8,1.6,Intel,500.0,HDD,16463.52
Asus,Notebook,14.0,1366x768,4,Intel HD Graphics 500,Windows 10,1.5,1.1,Intel,32.0,Flash,15238.08
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Linux,2.4,2.8,Intel,1024.0,HDD,45074.88
HP,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.35,2.8,Intel,128.0,SSD,63456.48
Lenovo,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,No OS,1.85,2.0,Intel,128.0,SSD,21498.48
Asus,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,2.3,2.8,Intel,128.0,SSD,88178.4
Lenovo,Notebook,14.0,1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.5,2.5,Intel,256.0,SSD,58554.72
Asus,Ultrabook,13.3,1920x1080,16,Intel HD Graphics 620,Windows 10,1.1,2.7,Intel,512.0,SSD,93181.392
Lenovo,Ultrabook,14.0,2560x1440,8,Intel HD Graphics 620,Windows 10,1.13,2.7,Intel,512.0,SSD,121584.96
Lenovo,Notebook,13.3,1920x1080,4,Intel HD Graphics 620,Windows 10,1.5,2.4,Intel,128.0,SSD,29250.72
Dell,Workstation,15.6,1920x1080,8,AMD FirePro W5130M,Windows 10,2.23,2.6,Intel,500.0,HDD,72940.32
Dell,Workstation,15.6,1920x1080,8,Nvidia Quadro M1200,Windows 10,2.0,2.7,Intel,256.0,SSD,113752.8
Lenovo,2 in 1 Convertible,14.0,2560x1440,16,Intel HD Graphics 620,Windows 10,1.42,2.7,Intel,512.0,SSD,133679.52
Asus,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.0,2.8,Intel,1024.0,HDD,55357.92
Asus,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,2.8,Intel,256.0,SSD,84768.48
Acer,Notebook,15.6,1366x768,12,Nvidia GeForce MX130,Windows 10,2.2,1.6,Intel,1024.0,HDD,36975.7872
MSI,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,2.8,Intel,256.0,SSD,71874.72
Dell,Notebook,15.6,1920x1080,8,AMD Radeon R7 M445,Linux,2.33,2.7,Intel,256.0,SSD,41498.1936
HP,Ultrabook,15.6,1920x1080,4,AMD Radeon 520,Windows 10,1.91,3.0,AMD,256.0,SSD,26586.72
Lenovo,Notebook,15.6,1920x1080,8,AMD Radeon RX 550,Windows 10,2.1,1.8,Intel,256.0,SSD,65510.9568
Lenovo,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.9,2.5,Intel,256.0,SSD,49976.64
Dell,Workstation,15.6,3840x2160,8,Nvidia Quadro M1200,Windows 10,1.78,2.8,Intel,256.0,SSD,144495.36
Lenovo,Ultrabook,14.0,2560x1440,16,Intel HD Graphics 620,Windows 10,1.13,2.7,Intel,1024.0,SSD,139860.0
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 500,Windows 10,2.2,1.1,Intel,1024.0,HDD,16303.68
Asus,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1050,Windows 10,2.9,2.8,Intel,256.0,SSD,81465.12
Lenovo,Notebook,25.6,1920x1080,8,AMD Radeon RX 550,Windows 10,2.1,1.6,Intel,256.0,SSD,60978.96
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Linux,2.5,2.8,Intel,256.0,SSD,46833.12
MSI,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.8,2.8,Intel,256.0,SSD,119826.72
Asus,Ultrabook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.1,2.7,Intel,512.0,SSD,99793.44
Toshiba,Ultrabook,13.3,1920x1080,16,Intel HD Graphics 520,Windows 10,1.2,2.5,Intel,512.0,SSD,93080.16
Dell,Ultrabook,14.0,1920x1080,8,Intel HD Graphics,Windows 10,1.36,2.8,Intel,512.0,SSD,89510.4
Lenovo,Notebook,35.6,1920x1080,4,Intel HD Graphics 520,Windows 10,2.2,2.0,Intel,500.0,HDD,21791.52
Lenovo,Notebook,11.6,1366x768,2,Intel HD Graphics 500,Windows 10,1.15,1.1,Intel,32.0,Flash,16221.096
Lenovo,Workstation,15.6,1920x1080,8,Nvidia Quadro M1200,Windows 10,2.67,2.8,Intel,512.0,SSD,102564.0
Lenovo,Ultrabook,14.0,2560x1440,8,Nvidia GeForce GT 940MX,Windows 10,1.7,2.8,Intel,512.0,SSD,103523.04
HP,Notebook,15.6,1920x1080,4,AMD Radeon 520,Windows 10,2.1,2.0,Intel,1024.0,HDD,24988.32
Acer,2 in 1 Convertible,13.3,1920x1080,8,Intel HD Graphics 520,Windows 10,1.6,2.5,Intel,256.0,SSD,42038.4528
Asus,2 in 1 Convertible,13.3,1920x1080,8,Intel HD Graphics 620,Windows 10,1.27,2.5,Intel,256.0,SSD,49443.84
Dell,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Linux,2.3,2.5,Intel,256.0,SSD,31909.392
Dell,Notebook,13.3,1366x768,4,Intel HD Graphics 520,Windows 10,1.65,2.0,Intel,128.0,SSD,36709.92
HP,Ultrabook,14.0,1920x1080,8,Intel HD Graphics 520,Windows 10,1.43,2.5,Intel,256.0,SSD,79920.0
Dell,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.14,2.5,Intel,1024.0,HDD,28768.536
Lenovo,Ultrabook,14.0,1920x1080,8,AMD Radeon RX 550,Windows 10,1.75,1.8,Intel,256.0,SSD,64755.4464
Lenovo,2 in 1 Convertible,15.6,3840x2160,16,Nvidia GeForce GTX 1050,Windows 10,2.0,2.8,Intel,512.0,SSD,101178.72
Chuwi,Notebook,12.3,2736x1824,6,Intel HD Graphics 500,Windows 10,1.4,1.1,Intel,64.0,Flash,23922.72
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 630,Windows 10,2.31,2.9,Intel,256.0,SSD,76030.56
Asus,Notebook,35.6,1920x1080,8,Nvidia GeForce 940MX,Linux,2.3,2.4,Intel,1024.0,HDD,31808.16
Dell,Gaming,27.3,2560x1440,16,Nvidia GeForce GTX 1070,Windows 10,4.42,2.9,Intel,256.0,SSD,149130.72
Dell,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,2.8,Intel,128.0,SSD,61751.52
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,2.02,1.8,Intel,256.0,SSD,60867.072
Dell,Ultrabook,14.0,1920x1080,8,Intel HD Graphics 620,Linux,1.6,2.8,Intel,256.0,SSD,58554.72
HP,Gaming,17.3,1920x1080,12,Nvidia GeForce GTX 1070,Windows 10,3.35,2.8,Intel,256.0,SSD,106506.72
Mediacom,2 in 1 Convertible,11.6,1920x1080,4,Intel HD Graphics 500,Windows 10,1.16,1.1,Intel,32.0,SSD,15930.72
Samsung,Netbook,11.6,1366x768,4,Intel HD Graphics 400,Chrome OS,1.15,1.6,Intel,16.0,Flash,14332.32
